Champion,Top,Jungle,Mid,ADC,Support
aatrox,True,False,False,False,False
ahri,False,False,True,False,False
akali,False,False,True,False,False
akshan,False,False,True,False,False
alistar,False,False,False,False,True
amumu,False,True,False,False,False
anivia,False,False,True,False,False
annie,False,False,True,False,False
aphelios,False,False,False,True,False
ashe,False,False,False,True,False
aurelionsol,False,False,True,False,False
azir,False,False,True,False,False
bard,False,False,False,False,True
belveth,False,True,False,False,False
blitzcrank,False,False,False,False,True
brand,False,False,False,False,True
braum,False,False,False,False,True
caitlyn,False,False,False,True,False
camille,True,False,False,False,False
cassiopeia,False,False,True,False,False
chogath,True,False,False,False,False
corki,False,False,True,False,False
darius,True,False,False,False,False
diana,False,True,False,False,False
drmundo,True,False,False,False,False
draven,False,False,False,True,False
ekko,False,True,False,False,False
elise,False,True,False,False,False
evelynn,False,True,False,False,False
ezreal,False,False,False,True,False
fiddlesticks,False,True,False,False,False
fiora,True,False,False,False,False
fizz,False,False,True,False,False
galio,False,False,True,False,False
gangplank,True,False,False,False,False
garen,True,False,False,False,False
gnar,True,False,False,False,False
gragas,False,True,False,False,False
graves,False,True,False,False,False
gwen,True,False,False,False,False
hecarim,False,True,False,False,False
heimerdinger,False,False,False,False,True
illaoi,True,False,False,False,False
irelia,True,False,False,False,False
ivern,False,True,False,False,False
janna,False,False,False,False,True
jarvaniv,False,True,False,False,False
jax,True,False,False,False,False
jayce,True,False,False,False,False
jhin,False,False,False,True,False
jinx,False,False,False,True,False
ksante,True,False,False,False,False
kaisa,False,False,False,True,False
kalista,False,False,False,True,False
karma,False,False,False,False,True
karthus,False,True,False,False,False
kassadin,False,False,True,False,False
katarina,False,False,True,False,False
kayle,True,False,False,False,False
kayn,False,True,False,False,False
kennen,True,False,False,False,False
khazix,False,True,False,False,False
kindred,False,True,False,False,False
kled,True,False,False,False,False
kogmaw,False,False,False,True,False
leblanc,False,False,True,False,False
leesin,False,True,False,False,False
leona,False,False,False,False,True
lillia,False,True,False,False,False
lissandra,False,False,True,False,False
lucian,False,False,False,True,False
lulu,False,False,False,False,True
lux,False,False,False,False,True
malphite,True,False,False,False,False
malzahar,False,False,True,False,False
maokai,False,True,False,False,False
masteryi,False,True,False,False,False
milio,False,False,False,False,True
missfortune,False,False,False,True,False
mordekaiser,True,False,False,False,False
morgana,False,False,False,False,True
nami,False,False,False,False,True
nasus,True,False,False,False,False
nautilus,False,False,False,False,True
neeko,False,True,False,False,False
nidalee,False,True,False,False,False
nilah,False,False,False,True,False
nocturne,False,True,False,False,False
nunu,False,True,False,False,False
olaf,True,False,False,False,False
orianna,False,False,True,False,False
ornn,True,False,False,False,False
pantheon,False,False,True,False,False
poppy,False,True,False,False,False
pyke,False,False,False,False,True
qiyana,False,False,True,False,False
quinn,True,False,False,False,False
rakan,False,False,False,False,True
rammus,False,True,False,False,False
reksai,False,True,False,False,False
rell,False,False,False,False,True
renata,False,False,False,False,True
renekton,True,False,False,False,False
rengar,False,True,False,False,False
riven,True,False,False,False,False
rumble,True,False,False,False,False
ryze,False,False,True,False,False
samira,False,False,False,True,False
sejuani,False,True,False,False,False
senna,False,False,False,False,True
seraphine,False,False,False,False,True
sett,True,False,False,False,False
shaco,False,True,False,False,False
shen,True,False,False,False,False
shyvana,False,True,False,False,False
singed,True,False,False,False,False
sion,True,False,False,False,False
sivir,False,False,False,True,False
skarner,False,True,False,False,False
sona,False,False,False,False,True
soraka,False,False,False,False,True
swain,False,False,False,False,True
sylas,False,False,True,False,False
syndra,False,False,True,False,False
tahmkench,True,False,False,False,False
taliyah,False,False,True,False,False
talon,False,False,True,False,False
taric,False,False,False,False,True
teemo,True,False,False,False,False
thresh,False,False,False,False,True
tristana,False,False,False,True,False
trundle,False,True,False,False,False
tryndamere,True,False,False,False,False
twistedfate,False,False,True,False,False
twitch,False,False,False,True,False
udyr,False,True,False,False,False
urgot,True,False,False,False,False
varus,False,False,False,True,False
vayne,False,False,False,True,False
veigar,False,False,True,False,False
velkoz,False,False,False,False,True
vex,False,False,True,False,False
vi,False,True,False,False,False
viego,False,True,False,False,False
viktor,False,False,True,False,False
vladimir,False,False,True,False,False
volibear,True,False,False,False,False
warwick,False,True,False,False,False
monkeyking,False,True,False,False,False
xayah,False,False,False,True,False
xerath,False,False,False,False,True
xinzhao,False,True,False,False,False
yasuo,False,False,True,False,False
yone,False,False,True,False,False
yorick,True,False,False,False,False
yuumi,False,False,False,False,True
zac,False,True,False,False,False
zed,False,False,True,False,False
zeri,False,False,False,True,False
ziggs,False,False,True,False,False
zilean,False,False,False,False,True
zoe,False,False,True,False,False
zyra,False,False,False,False,True
